nl,act1,act2,act3,slot1,slot2,slot3
Sorry would you like the $area$ of town or $area$,select,select,,area,area,
"The phone number of $name$ is $phone$ and its postcode is $postcode$,",offer,inform,inform,name,postcode,phone
I am sorry but there is no other $food$ restaurant that matches your request,canthelp,,,food,,
Sorry would you like something in the $area$ or in the $area$,select,select,,area,area,
"The phone number of $name$ is $phone$ and its postcode is $postcode$,",offer,inform,inform,name,phone,addr
I'm sorry but there is no $food$ restaurant in the $area$ of town and the $pricerange$ price range,canthelp,canthelp,canthelp,pricerange,area,food
There are restaurants serving $food$ in the $pricerange$ price range . What $area$ would you like?,request,inform,inform,area,food,pricerange
There are restaurants serving $food$ food . What $area$ do you want?,request,inform,,area,food,
"$name$ is on $addr$ , $postcode$",offer,inform,inform,name,postcode,addr
"$name$ is on $addr$ , $postcode$",offer,inform,inform,name,addr,postcode
pizza express Fen Ditton is in the $pricerange$ price range,offer,inform,,name,pricerange,
I'm sorry but there is no restaurant serving $pricerange$ $food$ food,canthelp,canthelp,,pricerange,food,
Sorry but there is no other restaurant in the $pricerange$ price range and the $area$ of town,canthelp,canthelp,,pricerange,area,
"$name$ is in the $pricerange$ price range , and their post code is $postcode$",offer,inform,inform,name,pricerange,postcode
The phone number of $name$ is $phone$ and it is in the $pricerange$ price range .,offer,inform,inform,name,phone,pricerange
pizza express Fen Ditton is a nice restaurant in the $area$ of town in the $pricerange$ price range,offer,inform,inform,name,pricerange,area
The price range at pizza express Fen Ditton is $pricerange$ .,offer,inform,,name,pricerange,
pizza express Fen Ditton is in the $area$ part of town .,offer,inform,,name,area,
Sorry there is no $pricerange$ restaurant in the $area$ of town serving $area$ american food,canthelp,canthelp,,area,pricerange,
Sorry there is no $pricerange$ restaurant in the $area$ of town serving $area$ american food,canthelp,canthelp,canthelp,area,pricerange,area
The phone number of $name$ is $phone$ and it is on St. Michael's Church Trinity Street City Centre .,offer,inform,inform,name,phone,addr
"$name$ is on $addr$ , and it is in the $pricerange$ price range",offer,inform,inform,name,pricerange,addr
Sorry there is no eritrean restaurant in the $area$ of town,canthelp,,,area,,
The phone number of $name$ is dontcare .,offer,inform,,name,phone,
The phone number of $name$ is $phone$ and it is in the $area$ part of town .,offer,inform,inform,name,phone,area
I'm sorry but there is no $food$ restaurant in the $area$ of town and the $pricerange$ price range,canthelp,canthelp,canthelp,area,pricerange,food
"The phone number of $name$ is $phone$ and its postcode is $postcode$,",offer,inform,inform,name,addr,phone
"$name$ is on St. Michael's Church Trinity Street City Centre , $postcode$",offer,inform,inform,name,addr,postcode
There are restaurants in the $pricerange$ price range and the $area$ of town . What type of $food$ would you like?,request,inform,inform,food,pricerange,area
There are restaurants . That $area$ would you like?,request,,,area,,
Sorry but there is no other $food$ restaurant in the $pricerange$ price range and the $area$ of town,canthelp,canthelp,canthelp,area,pricerange,food
"Sure , $name$ is on Doubletree by Hilton Cambridge Granta Place Mill Lane",offer,inform,,name,addr,
I'm sorry but there is no $area$ american restaurant in the $area$ of town,canthelp,canthelp,,area,area,
"$name$ is on $addr$ , and it is in the $pricerange$ pric",offer,inform,inform,name,pricerange,addr
