nl,act1,act2,act3,slot1,slot2,slot3
i want an $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
i would like an $pricerange$ restaurant in the $area$ part of,inform,inform,,pricerange,area,
what is the type of $food$,request,,,food,,
i want a $pricerange$ priced restaurant in the $area$ town,inform,inform,,pricerange,area,
a restaurant in the $area$ part of town,inform,,,area,,
barbecue,inform,,,food,,
i would like a restaurant that serves $food$ food,inform,,,food,,
could you repeat the $phone$,request,,,phone,,
i want an $pricerange$ restaurant that serves sea food,inform,inform,,food,pricerange,
could you repeat the restaurant $name$,request,,,name,,
could you repeat the $name$,request,,,name,,
i want a restaurant in the $area$,inform,,,area,,
the $area$,inform,,,area,,
i want $food$ food in the $area$ of town,inform,inform,,food,area,
is there $food$ food,inform,,,food,,
im looking for a restaurant in the $area$ part of town serving in,inform,,,area,,
im looking for $food$ food in the $area$ of town,inform,inform,,food,area,
the $addr$ and $phone$,request,request,,addr,phone,
$food$ian,inform,,,food,,
$phone$ and $postcode$,request,request,,phone,postcode,
im looking for $pricerange$ priced in the $area$ part of town,inform,inform,,pricerange,area,
$pricerange$ priced restaurant serving $food$ food,inform,inform,,food,pricerange,
$pricerange$ food in the $area$ of town,inform,inform,,pricerange,area,
looking for a restaurant in the $area$ of town,inform,,,area,,
$addr$ $phone$,request,request,,addr,phone,
im looking for $pricerange$ food in the $area$ of town,inform,inform,,pricerange,area,
$phone$ and $area$,request,request,,phone,area,
what $area$ is it in,request,,,area,,
looking for an $pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
whats the $addr$ and the $phone$,request,request,,addr,phone,
any $pricerange$,request,,,pricerange,,
$food$ food $pricerange$ price,inform,inform,,food,pricerange,
im looking for a pan asian food in the $area$ of town,inform,inform,,food,area,
pan asian,inform,,,food,,
whats the $addr$ and $pricerange$,request,request,,addr,pricerange,
im looking for $pricerange$ $food$ food,inform,inform,,food,pricerange,
$food$ food in $pricerange$ price range,inform,inform,,food,pricerange,
yes $food$ food,inform,,,food,,
$addr$ $phone$ and $area$,request,request,request,addr,phone,area
$food$ food in the $area$ of town,inform,inform,,food,area,
$phone$ and pri,request,,,phone,,
looking for a $pricerange$ priced restaurant in the $area$ of town,inform,inform,,pricerange,area,
$pricerange$ restaurant barbecue food,inform,inform,,food,pricerange,
dont matter,dontcare,,,,,
hello,hello,,,,,
restaraunt serving $food$ food,inform,,,food,,
medterranean,inform,,,food,,
an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
the $postcode$,request,,,postcode,,
$area$where,inform,,,area,,
bye,bye,,,,,
$area$ where,inform,,,area,,
a $pricerange$ restaurant serving $food$ food,inform,inform,,food,pricerange,
$pricerange$ priced in the $area$ part of town,inform,inform,,pricerange,area,
uh $pricerange$ restaurant in $area$ part of town,inform,inform,,pricerange,area,
$area$,request,,,area,,
what $area$,request,,,area,,
an $pricerange$ restaurant with $food$,inform,inform,,food,pricerange,
the $area$ part of town $food$ food,inform,inform,,food,area,
$addr$ $phone$ and $postcode$,request,request,request,addr,phone,postcode
im looking for a restaurant that serves $food$,inform,,,food,,
im looking for a restaurant in $area$ area that serves $food$ food,inform,inform,,food,area,
can i get the $addr$ $phone$ and $pricerange$,request,request,request,addr,phone,pricerange
and the $pricerange$,request,,,pricerange,,
im looking for a restaurant in the $area$ park of town that serves $food$ food,inform,inform,,food,area,
im looking for an $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
im looking for an $pricerange$ restaurant that serves signaporean food,inform,,,pricerange,,
can i get the $phone$ and $addr$,request,request,,phone,addr,
$phone$ and $addr$,request,request,,phone,addr,
can i have the $addr$ $phone$ and $area$,request,request,request,addr,phone,area
can i get the $addr$ and $pricerange$,request,request,,addr,pricerange,
im looking for a restaurant in the $area$ and it should serve $food$ food,inform,inform,,food,area,
im looking for a $food$ restaurant in the $pricerange$ price range,inform,inform,,food,pricerange,
could i have the $addr$ $phone$ and $area$,request,request,request,addr,phone,area
what ever,dontcare,,,,,
um surprise me,dontcare,,,,,
is there any other ones anything else,reqalts,,,,,
uh can i get the $postcode$ and $phone$,request,request,,postcode,phone,
what about the $phone$,request,,,phone,,
im looking for a $food$ food restaurant and i dont care the $pricerange$,inform,dontcare,,food,pricerange,
i am looking for a $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
can i get a $phone$,request,,,phone,,
what kind of $food$ do they have,request,,,food,,
uh is there any other,reqalts,,,,,
is there any other restaurant,reqalts,,,,,
lets see im looking for a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
how bout $area$ part of town,inform,,,area,,
whats the $phone$ of the venue,request,,,phone,,
yea im looking for an $pricerange$ restaurant that serves $food$,inform,inform,,food,pricerange,
$pricerange$ restaurants,inform,,,pricerange,,
whats the tele$phone$,request,,,phone,,
im looking for a restaurant in the $area$ part of town that serves $food$,inform,inform,,food,area,
and what is tele$phone$,request,,,phone,,
looking for $food$ food,inform,,,food,,
$pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
thanks us,bye,,,,,
$pricerange$ restaurant asian food,inform,inform,,food,pricerange,
and the $area$,request,,,area,,
looking for $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
and $food$ food,inform,,,food,,
what is the tele$phone$,request,,,phone,,
$area$ town,inform,,,area,,
downtown,inform,,,area,,
uh id like $food$ food,inform,,,food,,
uh how about $food$ type of food,inform,,,food,,
uh medium,inform,,,pricerange,,
uh $addr$,request,,,addr,,
the $addr$ please,request,,,addr,,
un $food$ food,inform,,,food,,
id like a restaurant in $area$ area,inform,,,area,,
uh i want a $pricerange$ restaurant and it should be in the $area$ part of town,inform,inform,,pricerange,area,
can i have the $phone$ please,request,,,phone,,
does it serve $food$ food,confirm,,,food,,
what about $pricerange$,inform,,,pricerange,,
is it $pricerange$,confirm,,,pricerange,,
$pricerange$ priced restaurant in the $area$,inform,inform,,pricerange,area,
whats the $phone$ there,request,,,phone,,
and what type of $food$ is that,request,,,food,,
uh $pricerange$ priced restaurants in the $area$ part of,inform,inform,,pricerange,area,
and whats the $phone$ there,request,,,phone,,
im looking for a modertley priced restaurant in the $area$,inform,,,area,,
in the $area$ part of,inform,,,area,,
in the $area$ part of town $food$ food,inform,inform,,food,area,
$food$ please,inform,,,food,,
no im looking for a that serves $food$ food,negate,,,food,,
no $area$ area,negate,,,area,,
what kind of $food$ is that,request,,,food,,
hi,hello,,,,,
im looking for a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
im looking for a $pricerange$ priced restaurant that serves uh,inform,,,pricerange,,
kind i have the $addr$,request,,,addr,,
im looking for a restaurant in the $area$ park of town that serves,inform,,,area,,
im looking for a restaurant in the $area$ part of town that should serve $food$ food,inform,inform,,food,area,
no thank you good bye,negate,,,,,
can i okay thank you,bye,,,,,
im looking for $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
im looking for a $pricerange$ priced restaurant in the $area$ part of,inform,inform,,pricerange,area,
any of town,dontcare,,,,,
$food$ $area$where,inform,inform,,food,area,
thank you bye,bye,,,,,
uh $pricerange$,request,,,pricerange,,
okay $phone$,request,,,phone,,
how about $food$ type food,inform,,,food,,
and whats the $pricerange$,request,,,pricerange,,
im sorry im looking for a $pricerange$ priced restaurant,inform,,,pricerange,,
do you have another,reqalts,,,,,
im looking for $pricerange$ priced restaurant that serves $food$ food,inform,inform,,food,pricerange,
what is the $addr$ of the,request,,,addr,,
um im looking for a $pricerange$ restaurant,inform,,,pricerange,,
what $area$ is that,request,,,area,,
okay do you have the $addr$ for $name$,request,inform,,addr,name,
can i try another one,reqalts,,,,,
is there another one,reqalts,,,,,
okay do you have their $phone$,request,,,phone,,
what about $food$ food in the $pricerange$ price range,inform,inform,,food,pricerange,
is that the only one with $food$ food,inform,,,food,,
in the $area$,inform,,,area,,
im looking for a restaurant in the $area$,inform,,,area,,
what about $food$ type food,inform,,,food,,
um how about a restaurant in the $area$ with int,inform,,,area,,
the $phone$ for $name$,request,inform,,phone,name,
how about one serving $food$ food,inform,,,food,,
okay how about the $area$ part of town with $food$,inform,inform,,food,area,
the $area$ of town with $food$ food,inform,inform,,food,area,
their $phone$,request,,,phone,,
i would like a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
how bout $food$ food,inform,,,food,,
can i have the $addr$ and $phone$ please,request,request,,addr,phone,
i would like an $pricerange$ restaurant in the $area$ part of town,inform,inform,,pricerange,area,
i would like an $pricerange$ restaurant in the $area$ of town,inform,inform,,pricerange,area,
and what type of $food$ do they serve,request,,,food,,
i would like to find a restaurant in the $area$ part of town that serves $food$ food,inform,inform,,food,area,
can i have their $addr$ and $phone$,request,request,,addr,phone,
how about the $addr$,request,,,addr,,
im $pricerange$ priced restaurant in the $area$ part of town,inform,inform,,pricerange,area,
$pricerange$ restaurant $area$ part of town,inform,inform,,pricerange,area,
$pricerange$ restaurant in $area$ part of town,inform,inform,,pricerange,area,
thank you bye thank you bye,bye,,,,,
$pricerange$ in the $area$ part of town,inform,inform,,pricerange,area,
ah i dont care,dontcare,,,,,
the $area$,request,,,area,,
what $area$ of town,request,,,area,,
thank you thank you goodbye,bye,,,,,
good bye thank you good bye,bye,,,,,
uh how about $food$ food,inform,,,food,,
uh can i get the $phone$,request,,,phone,,
im looking for a $pricerange$ restaurant that serves $food$ food,inform,inform,,food,pricerange,
can i get $addr$,request,,,addr,,
trying to find a $pricerange$ restaurant,inform,,,pricerange,,
uh whats the $addr$ and $phone$,request,request,,addr,phone,
looking for a restaurant in the $area$ part of town,inform,,,area,,
uh whats the $phone$ and $postcode$,request,request,,phone,postcode,
uh $food$,inform,,,food,,
uh whats the $addr$ and the $phone$,request,request,,addr,phone,
hello $food$ type of food,inform,,,food,,
oh whats the $phone$,request,,,phone,,
uh whats the $phone$,request,,,phone,,
im looking for an $pricerange$ restaurant,inform,,,pricerange,,
thank,bye,,,,,
um anything else,dontcare,,,,,
is it the $area$ part of town,confirm,,,area,,
looking for an $pricerange$ restaurant,inform,,,pricerange,,
that doesnt matter,dontcare,,,,,
restaurant $area$,inform,,,area,,
$food$ $food$,inform,,,food,,
im looking a restaurant in the $area$ part of town,inform,,,area,,
$pricerange$ $food$,inform,inform,,food,pricerange,
portugeuse food,inform,,,food,,
im looking for an $pricerange$ restaurant in the $area$,inform,inform,,pricerange,area,
what about $pricerange$ price range,inform,,,pricerange,,
i am looking for a restaurant in the $area$ part of town and it should serve $food$ food,inform,inform,,food,area,
whats their $addr$,request,,,addr,,
whats their $pricerange$,request,,,pricerange,,
im looking for an $pricerange$ restaurant that serves,inform,,,pricerange,,
im looking for a $pricerange$ restaurant in the $area$ of,inform,inform,,pricerange,area,
i am looking for a restaurant in the $area$ part of town,inform,,,area,,
what is their $addr$ and $pricerange$,request,request,,addr,pricerange,
